a	[ei, ә]	art. 一(个),每一(个)
thought	[θɔ:t]	n. 思想,思维;想法
thousand	['θauzәnd]	num. 千,千个n. 无数，成千上万
three	[θri:]	num. 三个
through	[θru:]	prep. 穿过ad. 从头到尾
time	[taim]	n. 时间;时机;次,回；倍；时代vt. 安排时间；计时
to	[tu:, tu, tә]	prep. 到,向;达到；对于
today	[tә'dei]	n. 今天；当代
together	[tә'geðә]	ad. 共同,一起；合计，共计
too	[tu:]	ad. 也,还;太
top	[tɔp]	n. 顶，上端；首位a. 最高的
total	['tәutl]	a. 总的vi. 合计,总共
towards	[tә'wɔ:dz]	prep. 向着
town	[taun]	n. 市镇,城镇
trade	[treid]	n. 贸易vi. 交易
try	[trai]	vi. 尝试；努力；审讯vt. 努力；尝试
turn	[tә:n]	vt. 转,翻vi. 转动n. 转动；轮流，轮班
twelve	[twelv]	num. 十二
twenty	['twenti]	num. 二十
twice	[twais]	ad. 两次,两倍
two	[tu:]	num. 二
under	['ʌndә]	prep. 在…下面；在. . . 的情况下
understand	[ʌndә'stænd]	vt. 理解,明白
union	['ju:njәn]	n. 联合,团结;协会
university	[ju:ni'vә:siti]	n. 大学
until	[әn'til]	prep. 到…为止conj. 直到…为止
up	[ʌp]	ad. 向上;用完,用尽;提高,增强 prep在高处a. 起床的
us	[ʌs, әs]	pron. 我们
use	[ju:z, ju:s]	vt. 用, 使用n. 使用, 利用;用途
value	['vælju:]	n. 价值,价格vt. 评价
very	['veri]	ad. 很,非常a. 正是那个
view	[vju:]	vt. 看待；看n. 见解;风景
visit	['vizit]	vt. 访问,参观n. 访问,参观
vote	[vәut]	n. 选举,投票
wait	[weit]	vi. 等待n. 等待
walk	[wɔ:k]	vi. 走n. 走,步行
wall	[wɔ:l]	n. 墙壁,围墙
want	[wɔnt]	vt. 想要n. 需要；缺乏
war	[wɔ:]	n. 战争
wasn't		n.  不是
watch	[wɔtʃ]	vt. 观看；监视vi. 观看n. 手表
water	['wɔ:tә]	n. 水vt. 灌溉
way	[wei]	n. 路;路线;办法
we	[wi:]	pron. 我们
week	[wi:k]	n. 星期
well	[wel]	ad. 好;完全地a. 健康的int. 喔,嗯n. 井
we're		we are 之略
west	[west]	n. 西边a. 西方的
we've		n.  我们有
what	[wCt]	pron. 什么
when	[wen]	ad. 什么时候pron. 当…的时候
where	[wɛә]	ad. 在哪里pron. 哪里
whether	['weðә]	conj. 是否
which	['witʃ]	pron. 哪一个a. 哪一个
while	[wail]	conj. 当…的时候;而
white	[wait]	a. 白的n. 白色
who	[hu:]	pron. 谁
whole	[hәul]	a. 完整的；全体的n. 全部
whose	[hu:z]	pron. 谁的
why	[wai]	ad. 为什么
wide	[waid]	a. 宽阔的ad. 全部地
wife	[waif]	n. 妻子
will	[wil]	aux. 将要,会;愿意n. 意志；遗嘱
win	[win]	vi. 获胜,赢vt. 赢得
with	[wið]	prep. 和…一起；随着
within	[wi'ðin]	prep. 在…里面；不超过
without	[wið'aut]	prep. 无,没有
woman	['wumәn]	n. 妇女,女性
won't		will not之略
word	[wә:d]	n. 词,话
work	[wә:k]	n. 工作,职业；著作vi. 工作；运转,起作用
worker	['wә:kә]	n. 工人
working	['wә:kiŋ]	n.  工作,作用,劳动
world	[wә:ld]	n. 世界
would	[wud, wәd]	aux. 将;愿意
wouldn't		would not 之略
write	[rait]	vt. 写vi. 书写；写作；写信
year	[jә:, jiә]	n. 年；岁数
yes	[jes]	ad. 是,是的
yesterday	['jestәdi]	n. 昨天ad. 昨日
yet	[jet]	ad. 还;已经conj. 而
you	[ju:, ju]	pron. 你,你们
young	[jʌŋ]	a. 年轻的n. 青年们
your	[jɔ:]	pron. 你的,你们的
you're		you are 之略
you've	[ju:v, juv]	you have 之略
